country,stream_id,target_start,target_iso_year,target_iso_week,baseline_center_iso_year,baseline_center_iso_week,week53_mapped_to52,window_start,window_end,expected_weeks,eligible_weeks,qualified,positive_specimens,tested_specimens,positivity,excluded_week_reasons
ETH,53b5453d29f812a883a9,2025-12-29,2026,1,2025,1,False,2024-12-16,2025-01-19,5,4,True,44.0,473.0,0.09302325581395349,"{""low_testing"":1}"
ETH,53b5453d29f812a883a9,2026-01-05,2026,2,2021,2,False,2020-12-28,2021-01-31,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2026-01-05,2026,2,2022,2,False,2021-12-27,2022-01-30,5,0,False,,,,"{""low_testing"":4,""unobserved_week"":1}"
ETH,53b5453d29f812a883a9,2026-01-05,2026,2,2023,2,False,2022-12-26,2023-01-29,5,5,True,105.0,776.0,0.13530927835051546,{}
ETH,53b5453d29f812a883a9,2026-01-05,2026,2,2024,2,False,2023-12-25,2024-01-28,5,5,True,39.0,810.0,0.04814814814814815,{}
ETH,53b5453d29f812a883a9,2026-01-05,2026,2,2025,2,False,2024-12-23,2025-01-26,5,4,True,39.0,482.0,0.08091286307053942,"{""low_testing"":1}"
ETH,53b5453d29f812a883a9,2026-01-12,2026,3,2021,3,False,2021-01-04,2021-02-07,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2026-01-12,2026,3,2022,3,False,2022-01-03,2022-02-06,5,1,False,2.0,102.0,,"{""low_testing"":4}"
ETH,53b5453d29f812a883a9,2026-01-12,2026,3,2023,3,False,2023-01-02,2023-02-05,5,5,True,102.0,838.0,0.12171837708830549,{}
ETH,53b5453d29f812a883a9,2026-01-12,2026,3,2024,3,False,2024-01-01,2024-02-04,5,5,True,30.0,809.0,0.037082818294190356,{}
ETH,53b5453d29f812a883a9,2026-01-12,2026,3,2025,3,False,2024-12-30,2025-02-02,5,4,True,63.0,546.0,0.11538461538461539,"{""low_testing"":1}"
ETH,53b5453d29f812a883a9,2026-01-19,2026,4,2021,4,False,2021-01-11,2021-02-14,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2026-01-19,2026,4,2022,4,False,2022-01-10,2022-02-13,5,2,False,14.0,249.0,,"{""low_testing"":3}"
ETH,53b5453d29f812a883a9,2026-01-19,2026,4,2023,4,False,2023-01-09,2023-02-12,5,5,True,103.0,804.0,0.1281094527363184,{}
ETH,53b5453d29f812a883a9,2026-01-19,2026,4,2024,4,False,2024-01-08,2024-02-11,5,5,True,28.0,793.0,0.03530895334174023,{}
ETH,53b5453d29f812a883a9,2026-01-19,2026,4,2025,4,False,2025-01-06,2025-02-09,5,3,False,51.0,434.0,,"{""low_testing"":2}"
ETH,53b5453d29f812a883a9,2026-01-26,2026,5,2021,5,False,2021-01-18,2021-02-21,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2026-01-26,2026,5,2022,5,False,2022-01-17,2022-02-20,5,2,False,14.0,249.0,,"{""low_testing"":3}"
ETH,53b5453d29f812a883a9,2026-01-26,2026,5,2023,5,False,2023-01-16,2023-02-19,5,5,True,106.0,834.0,0.12709832134292565,{}
ETH,53b5453d29f812a883a9,2026-01-26,2026,5,2024,5,False,2024-01-15,2024-02-18,5,5,True,22.0,811.0,0.027127003699136867,{}
ETH,53b5453d29f812a883a9,2026-01-26,2026,5,2025,5,False,2025-01-13,2025-02-16,5,3,False,51.0,434.0,,"{""low_testing"":2}"
ETH,53b5453d29f812a883a9,2026-02-02,2026,6,2021,6,False,2021-01-25,2021-02-28,5,0,False,,,,"{""unobserved_week"":5}"
