portid,date,year,month,day,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId,source_observed,chokepoint,day_complete,reporting_lag_elapsed,usable,status,source_id,source_version,source_url,fetched_at,unit,provisional
chokepoint1,2019-02-02,2019,2,2,Suez Canal,22.0,4.0,6.0,1.0,13.0,33.0,46.0,1340067.0,110529.0,34475.0,5596.0,897669.0,1490669.0,2388339.0,33.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-02-03,2019,2,3,Suez Canal,13.0,18.0,5.0,1.0,12.0,37.0,49.0,788849.0,1035142.0,18620.0,289.0,513576.0,1842902.0,2356478.0,34.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-02-04,2019,2,4,Suez Canal,15.0,2.0,5.0,3.0,17.0,25.0,42.0,705471.0,74252.0,20135.0,18882.0,1261018.0,818742.0,2079760.0,35.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-02-05,2019,2,5,Suez Canal,23.0,17.0,8.0,1.0,19.0,49.0,68.0,1352079.0,894237.0,32197.0,5572.0,978843.0,2284086.0,3262930.0,36.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-02-06,2019,2,6,Suez Canal,24.0,9.0,3.0,6.0,15.0,42.0,57.0,1579166.0,847403.0,12647.0,24540.0,1274682.0,2463758.0,3738441.0,37.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-02-07,2019,2,7,Suez Canal,18.0,11.0,4.0,3.0,21.0,36.0,57.0,871185.0,625154.0,14297.0,15293.0,946325.0,1525930.0,2472255.0,38.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-02-08,2019,2,8,Suez Canal,17.0,9.0,3.0,1.0,18.0,30.0,48.0,1140934.0,730920.0,10451.0,7421.0,1180281.0,1889728.0,3070009.0,39.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-02-09,2019,2,9,Suez Canal,15.0,27.0,4.0,4.0,11.0,50.0,61.0,965900.0,875131.0,3541.0,14105.0,381014.0,1858678.0,2239692.0,40.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-02-10,2019,2,10,Suez Canal,18.0,8.0,4.0,2.0,12.0,32.0,44.0,1040039.0,676753.0,2737.0,9147.0,565842.0,1728678.0,2294520.0,41.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-02-11,2019,2,11,Suez Canal,17.0,14.0,7.0,4.0,21.0,42.0,63.0,827992.0,788603.0,43808.0,14762.0,1011891.0,1675168.0,2687060.0,42.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
