year,geophysical,solar,conflict_and_humanitarian_impacts,health,hydroclimate_impacts,economy
2010,1.3002972374912025,-0.6691368665692917,0.05555797905944915,3.464093141153269,,0.2983415131767555
2011,2.0058853489235084,1.816228637830935,0.6438981577860577,-0.2895445807563168,,1.3774579642669373
2012,0.11147346035581428,1.5055579497809066,0.13171803525238554,-0.2877135089814321,,-0.7046302615768418
2013,0.5572823767815849,3.058911390031048,0.3534665043486321,-0.2877135089814321,,-0.7046302615768418
2014,-0.4829384282118799,3.6802527661311046,1.5730848927240555,-0.18605722599568572,,0.2983415131767555
2015,0.5572823767815849,0.2628751975807932,0.9005875576361323,-0.18605722599568572,,0.2983415131767555
2016,0.11147346035581428,-0.6691368665692917,1.1121466125734945,-0.18605722599568572,,-0.7046302615768418
2017,-1.2259532889214975,0.8842165736808498,1.042170988288338,-0.2877135089814321,,-0.7046302615768418
2018,0.26007643249773776,-0.6691368665692917,0.590814142625005,-0.26703485356343143,,2.3873785479668914
2019,-0.7801443724957269,-0.6691368665692917,1.023482626528896,22.79733672726812,,0.2983415131767555
2020,-0.9287473446376504,-0.6691368665692917,1.1241009683112415,22.79733672726812,,1.5696075093352375
2021,0.5572823767815849,-0.04779549046923509,1.457938114989054,22.789062861493775,,-0.7046302615768418
2022,0.6684585996461968,0.2628751975807932,,22.790142215531375,,1.469722734056
2023,,3.058911390031048,,22.790142215531375,,0.2983415131767555
2024,,7.097630334681416,,-0.2877135089814321,,
2025,,1.1948872617308781,,-0.2877135089814321,,
