event_id,kind,catalog_date_td,global_type,element_source,greatest_td,delta_t_seconds,local_geometry_type,local_visible_type,visible,local_maximum_ut1,local_maximum_altitude_deg,local_maximum_azimuth_deg,local_magnitude,local_obscuration,full_local_partial_duration_seconds,visible_partial_duration_seconds,full_local_central_duration_seconds,visible_central_duration_seconds,visible_start_ut1,visible_end_ut1,maximum_at_horizon_flag,location_id,time_scale,prediction_status,full_penumbral_duration_seconds,visible_penumbral_duration_seconds,visible_penumbral_intervals_ut1,full_umbral_duration_seconds,visible_umbral_duration_seconds,visible_umbral_intervals_ut1,full_total_duration_seconds,visible_total_duration_seconds,visible_total_intervals_ut1,maximum_above_model_horizon,penumbral_magnitude,umbral_magnitude
lunar-09445,lunar,1911-05-13,N,LE1901,1911-05-13T05:56:23.568,12.2,N,none,False,1911-05-13T05:56:11.368,-40.4886919203076,,,,,,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,15417.972000000002,0,[],,,,,,,False,0.799,-0.271
solar-09307,solar,1911-10-22,A,SE1901,1911-10-22T04:13:02.122,12.8,P,none,False,,,,,,6048.101175124904,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
lunar-09446,lunar,1911-11-06,N,LE1901,1911-11-06T15:36:44.928,12.9,N,N,True,1911-11-06T15:36:32.064,11.001646280028156,,,,,,,,1911-11-06T14:39:54.235,1911-11-06T17:31:54.612,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,13837.32,10320.376640625012,"[[""1911-11-06T14:39:54.235"", ""1911-11-06T17:31:54.612""]]",,,,,,,True,0.815,-0.173
lunar-09447,lunar,1912-04-01,P,LE1901,1912-04-01T22:14:15.648,13.5,P,P,True,1912-04-01T22:14:02.148,53.08097274996287,,,,,,,,1912-04-01T19:56:05.856,1912-04-02T00:31:53.076,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,16547.22,16547.22,"[[""1912-04-01T19:56:05.856"", ""1912-04-02T00:31:53.076""]]",5713.092,5713.092,"[[""1912-04-01T21:26:19.932"", ""1912-04-01T23:01:33.024""]]",,,,True,1.188,0.182
solar-09308,solar,1912-04-17,H,SE1901,1912-04-17T11:34:21.994,13.5,P,P,True,1912-04-17T12:52:15.028,40.59474322820242,255.5527677969813,0.17973121764932182,0.089,5852.186619794226,5852.186619794226,,,1912-04-17T12:01:56.119,1912-04-17T13:39:28.305,0,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
lunar-09448,lunar,1912-09-26,P,LE1901,1912-09-26T11:44:49.776,14.1,P,none,False,1912-09-26T11:44:35.676,-45.719901811371294,,,,,,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,17635.104,0,[],4903.236,0,[],,,,False,1.178,0.118
solar-09309,solar,1912-10-10,T,SE1901,1912-10-10T13:36:13.594,14.2,none,none,False,,,,,,,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
lunar-09449,lunar,1913-03-22,T,LE1901,1913-03-22T11:57:48.931,14.8,T,none,False,1913-03-22T11:57:34.124,-46.61477339160152,,,,,,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,19181.088,0,[],12564.18,0,[],5566.392,0,[],False,2.534,1.568
solar-09310,solar,1913-04-06,P,SE1901,1913-04-06T17:33:07.171,14.8,none,none,False,,,,,,,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
solar-09311,solar,1913-08-31,P,SE1901,1913-08-31T20:52:11.885,15.4,none,none,False,,,,,,,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
lunar-09450,lunar,1913-09-15,T,LE1901,1913-09-15T12:48:19.066,15.4,T,N,True,1913-09-15T12:48:03.680,-37.2238528786299,,,,,,,,1913-09-15T15:48:40.880,1913-09-15T15:54:34.100,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,22381.451999999997,353.2195781250417,"[[""1913-09-15T15:48:40.880"", ""1913-09-15T15:54:34.100""]]",13832.712,0,[],5608.62,0,[],False,2.512,1.43
solar-09312,solar,1913-09-30,P,SE1901,1913-09-30T04:45:48.672,15.5,none,none,False,,,,,,,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
solar-09313,solar,1914-02-25,A,SE1901,1914-02-25T00:13:01.056,16,none,none,False,,,,,,,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
lunar-09451,lunar,1914-03-12,P,LE1901,1914-03-12T04:13:07.738,16.1,P,P,True,1914-03-12T04:12:51.616,-4.562392934682368,,,,,,,,1914-03-12T01:42:08.128,1914-03-12T03:52:13.489,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,18087.696,7805.361328124988,"[[""1914-03-12T01:42:08.128"", ""1914-03-12T03:52:13.489""]]",10888.992,4205.068359375002,"[[""1914-03-12T02:42:08.380"", ""1914-03-12T03:52:13.448""]]",,,,False,1.876,0.911
solar-09314,solar,1914-08-21,T,SE1901,1914-08-21T12:34:27.206,16.6,P,P,True,1914-08-21T13:24:32.266,35.57711209159559,262.25303850952577,0.8387904606784933,0.804,8000.901464852132,8000.901464852132,,,1914-08-21T12:14:39.388,1914-08-21T14:28:00.289,0,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
lunar-09452,lunar,1914-09-04,P,LE1901,1914-09-04T13:54:56.707,16.7,P,N,True,1914-09-04T13:54:39.964,-26.24687002791154,,,,,,,,1914-09-04T15:59:44.421,1914-09-04T16:46:17.008,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,20589.12,2792.5867968750235,"[[""1914-09-04T15:59:44.421"", ""1914-09-04T16:46:17.008""]]",11759.616,0,[],,,,False,1.913,0.858
lunar-09453,lunar,1915-01-31,N,LE1901,1915-01-31T04:57:42.422,17.2,N,N,True,1915-01-31T04:57:25.244,-3.535057047082909,,,,,,,,1915-01-31T04:26:35.384,1915-01-31T04:40:28.499,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,3719.8800000000006,833.1152343750001,"[[""1915-01-31T04:26:35.384"", ""1915-01-31T04:40:28.499""]]",,,,,,,False,0.045,-0.999
solar-09315,solar,1915-02-14,A,SE1901,1915-02-14T04:33:20.102,17.2,none,none,False,,,,,,,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
lunar-09454,lunar,1915-03-01,N,LE1901,1915-03-01T18:19:32.362,17.3,N,N,True,1915-03-01T18:19:15.076,34.297400944814534,,,,,,,,1915-03-01T16:39:28.420,1915-03-01T19:59:13.864,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,11985.444,11985.444,"[[""1915-03-01T16:39:28.420"", ""1915-03-01T19:59:13.864""]]",,,,,,,True,0.555,-0.453
lunar-09455,lunar,1915-07-26,N,LE1901,1915-07-26T12:24:38.995,17.7,N,none,False,1915-07-26T12:24:21.288,-53.98184728770791,,,,,,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,9524.016,0,[],,,,,,,False,0.355,-0.613
solar-09316,solar,1915-08-10,A,SE1901,1915-08-10T22:52:24.643,17.8,none,none,False,,,,,,,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
lunar-09456,lunar,1915-08-24,N,LE1901,1915-08-24T21:27:17.366,17.8,N,N,True,1915-08-24T21:26:59.588,47.29990917457159,,,,,,,,1915-08-24T19:44:42.632,1915-08-24T23:09:07.472,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,12264.84,12264.84,"[[""1915-08-24T19:44:42.632"", ""1915-08-24T23:09:07.472""]]",,,,,,,True,0.575,-0.423
lunar-09457,lunar,1916-01-20,P,LE1901,1916-01-20T08:39:40.637,18.3,P,none,False,1916-01-20T08:39:22.380,-35.1074307891482,,,,,,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,18340.632,0,[],5260.212,0,[],,,,False,1.228,0.133
solar-09317,solar,1916-02-03,T,SE1901,1916-02-03T16:00:21.456,18.3,P,none,False,,,,,,3698.3024438263756,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
lunar-09458,lunar,1916-07-15,P,LE1901,1916-07-15T04:46:07.421,18.8,P,N,True,1916-07-15T04:45:48.628,-24.745868661990613,,,,,,,,1916-07-15T02:19:36.292,1916-07-15T02:36:40.130,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,17543.664,1023.8378906249949,"[[""1916-07-15T02:19:36.292"", ""1916-07-15T02:36:40.130""]]",10350.359999999999,0,[],,,,False,1.735,0.794
